sub,reward,transition,diff
1,0.7411430481283423,0.863135026737968,-0.12199197860962574
2,0.9120153743315508,0.6392045454545454,0.27281082887700536
3,0.010444518716577525,-0.001671122994652396,0.01211564171122992
4,0.501336898395722,-0.2740641711229944,0.7754010695187165
5,0.3267045454545455,0.43741644385026746,-0.11071189839572193
6,0.006266711229946513,-0.10987633689839571,0.11614304812834222
7,0.9078375668449197,0.8493482620320855,0.05848930481283421
8,0.8113302139037432,0.5648395721925132,0.24649064171122992
9,0.9926470588235291,0.992229278074866,0.0004177807486630547
10,0.8543616310160427,0.4900568181818181,0.36430481283422456
11,0.9901403743315504,0.9901403743315504,0.0
12,0.8409567440257352,0.8506195557946188,-0.009662811768883617
13,0.9395889037433155,0.9487800802139035,-0.00919117647058798
14,0.7745655080213902,0.8765040106951871,-0.1019385026737969
15,0.6605113636363635,0.5497994652406415,0.11071189839572204
16,0.6509024064171122,0.45830548128342236,0.1925969251336898
17,0.45287433155080214,0.47752339572192515,-0.024649064171123003
18,0.004595588235294125,-0.11864973262032083,0.12324532085561496
19,0.06851604278074871,0.1445521390374331,-0.0760360962566844
20,0.4173629679144384,0.4725100267379677,-0.05514705882352933
21,0.1725434491978609,0.06642713903743311,0.1061163101604278
22,0.8405748663101602,0.946273395721925,-0.10569852941176483
23,0.8643883689839572,0.7440675133689839,0.1203208556149733
24,0.6926804812834226,0.5355949197860962,0.15708556149732644
25,0.0008355614973262052,0.002506684491978581,-0.0016711229946523758
26,0.13201871657754014,0.11572526737967914,0.016293449197860993
27,0.9876336898395722,0.986798128342246,0.0008355614973262204
28,0.5092747326203206,0.2586062834224598,0.25066844919786085
29,0.0012533422459892808,0.0033422459893048375,-0.0020889037433155567
30,0.8405748663101603,0.18674799465240635,0.653826871657754
31,-0.02339572192513361,0.01671122994652407,-0.04010695187165768
32,0.26027740641711244,0.46039438502673785,-0.2001169786096254
33,0.06851604278074859,-0.0029244652406417004,0.07144050802139029
34,0.8029745989304811,0.7620320855614973,0.0409425133689838
35,0.6529913101604277,0.48587901069518713,0.16711229946524053
36,0.9922292780748664,0.7549298128342246,0.23729946524064183
37,0.16669451871657748,-0.09400066844919784,0.26069518716577533
38,0.000417780748663086,-0.002924465240641707,0.003342245989304793
39,0.8464237967914436,0.6822359625668447,0.16418783422459893
40,0.08940508021390381,0.11196524064171115,-0.02256016042780734
41,-0.014622326203208594,0.15541443850267378,-0.17003676470588236
42,0.7073028074866309,0.92538435828877,-0.2180815508021391
43,0.4211229946524062,0.39522058823529416,0.025902406417112056
44,0.29996657754010686,0.3672292780748662,-0.06726270053475936
45,0.9918114973262029,0.7666276737967912,0.2251838235294117
46,0.0037600267379679126,0.004177807486631013,-0.00041778074866310024
47,0.744485294117647,0.49757687165775394,0.24690842245989303
48,0.5514705882352942,0.5485461229946523,0.002924465240641827
49,0.34634024064171115,0.411096256684492,-0.06475601604278086
50,0.9922292780748662,0.9934826203208553,-0.001253342245989164
51,0.9893048128342246,0.9905581550802137,-0.001253342245989164
52,-0.07102272727272725,0.0008355614973261966,-0.07185828877005344
53,0.9458556149732618,0.49465240641711217,0.4512032085561496
54,0.5819685828877005,0.5786263368983957,0.0033422459893047707
55,0.0008355614973261985,-0.00459558823529412,0.005431149732620319
56,0.8472593582887697,0.8856951871657752,-0.03843582887700547
57,0.06392045454545452,0.0016711229946524127,0.0622493315508021
58,0.9880514705882353,0.986798128342246,0.0012533422459892751
